trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
223,False,"{'a': 0.8, 'e': 0.0357931050676553}",25,5,38.61171748209603,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.8, 'e': 0.035260215157614135}",20,10,21.409262317158376,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.8, 'e': 0.03473525894473856}",20,9,20.0863439572833,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.8, 'e': 0.03421811831166603}",20,13,17.502567916855114,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
227,False,"{'a': 0.8, 'e': 0.033708676899572416}",30,17,26.099583599022065,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
228,False,"{'a': 0.8, 'e': 0.03320682008199073}",25,17,13.665884821246353,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.8, 'e': 0.03271243493901982}",20,16,10.177435841873747,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.8, 'e': 0.0322254102319168}",30,12,32.78779726911368,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.8, 'e': 0.03174563637806795}",20,7,21.80700350314061,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
232,False,"{'a': 0.8, 'e': 0.03127300542633206}",20,10,20.490014671295196,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
233,False,"{'a': 0.8, 'e': 0.030807411032751076}",25,12,24.0691096846531,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
234,False,"{'a': 0.8, 'e': 0.030348748436622216}",25,19,12.269199859467783,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
235,False,"{'a': 0.8, 'e': 0.02989691443692632}",30,22,16.18414076555441,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
236,False,"{'a': 0.8, 'e': 0.02945180736910729}",20,10,8.14782145049519,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
