,Date,BTC_Open,BTC_High,BTC_Low,BTC_Close,BTC_Volume,BTC_Market_Cap,Holiday,Weekend,wd_1,wd_2,wd_3,wd_4,wd_5,wd_6,wd_7,season_1,season_2,season_3,season_4,N_tran,Diff,Block_Size,Mi_rev,Cost_tran
548,2017-06-09,2807.44,2901.71,2795.62,2823.81,1348950016.0,46260465854,0,0,0,0,0,0,1,0,0,0,0,1,0,307377.0,678760110082.0,0.9698142060609999,6905690.49109,23.2024410679
549,2017-06-08,2720.49,2815.3,2670.95,2805.62,1281170048.0,45957247989,0,0,0,0,0,1,0,0,0,0,0,1,0,339720.0,678760110082.0,0.992122860606,7060707.825189999,21.4203411951
550,2017-06-07,2869.38,2869.38,2700.56,2732.16,1517709952.0,44748237218,0,0,0,0,1,0,0,0,0,0,0,1,0,297416.0,678760110082.0,0.990044397351,6705146.00153,23.255651520100002
551,2017-06-06,2690.84,2999.91,2690.84,2863.2,2089609984.0,46888622160,0,0,0,1,0,0,0,0,0,0,0,1,0,289930.0,678760110082.0,0.964430121951,6586584.01631,23.503688306999997
552,2017-06-05,2512.4,2686.81,2510.22,2686.81,1369309952.0,43994968834,0,0,1,0,0,0,0,0,0,0,0,1,0,266044.0,628336862171.0,0.9823586708069999,5967104.60829,23.2139449257
553,2017-06-04,2547.79,2585.89,2452.54,2511.81,1355120000.0,41124262595,0,1,0,0,0,0,0,0,1,0,0,1,0,305320.0,595921917085.0,0.981052463542,7190853.406160001,24.3679195695
554,2017-06-03,2493.72,2581.91,2423.57,2515.35,1514950016.0,41177190057,0,1,0,0,0,0,0,1,0,0,0,1,0,271539.0,595921917085.0,0.9819886164380001,5437774.58696,20.6757352841
555,2017-06-02,2404.03,2488.55,2373.32,2488.55,1317030016.0,40732491835,0,0,0,0,0,0,1,0,0,0,0,1,0,319709.0,595921917085.0,0.977746641176,6245228.67373,20.217534733
556,2017-06-01,2288.33,2448.39,2288.33,2407.88,1653180032.0,39407633763,0,0,0,0,0,1,0,0,0,0,0,1,0,321634.0,595921917085.0,0.97669645122,5808558.0762,18.6239844508
557,2017-05-31,2187.19,2311.08,2145.57,2286.41,1544829952.0,37414813240,0,0,0,0,1,0,0,0,0,0,1,0,0,347961.0,595921917085.0,0.9806031173180001,6132063.83141,18.1852083599
558,2017-05-30,2255.36,2301.96,2124.57,2175.47,1443970048.0,35594903085,0,0,0,1,0,0,0,0,0,0,1,0,0,321638.0,595921917085.0,0.9779007417219999,5260813.81305,16.858043357
559,2017-05-29,2159.43,2307.05,2107.17,2255.61,994625024.0,36901102917,1,0,1,0,0,0,0,0,0,0,1,0,0,308143.0,595921917085.0,0.977982139394,5262057.4296,17.6779335513
560,2017-05-28,2054.08,2267.34,2054.08,2155.8,1147139968.0,35264171110,1,1,0,0,0,0,0,0,1,0,1,0,0,331914.0,595921917085.0,0.9914609166670001,5121736.68364,15.951717804000001
561,2017-05-27,2196.27,2260.2,1855.83,2038.87,1700480000.0,33347170525,0,1,0,0,0,0,0,1,0,0,1,0,0,333340.0,595921917085.0,0.9587752679739999,5119620.43586,15.8084363445
562,2017-05-26,2320.89,2573.79,2071.99,2202.42,1763480064.0,36017660894,0,0,0,0,0,0,1,0,0,0,1,0,0,350114.0,595921917085.0,0.976875766871,5871333.8597099995,17.2939697342
563,2017-05-25,2446.24,2763.71,2285.3,2304.98,2406700032.0,37690456715,0,0,0,0,0,1,0,0,0,0,1,0,0,338642.0,595921917085.0,0.970548168831,5524488.081,16.8471840496
564,2017-05-24,2321.37,2523.72,2321.37,2443.64,1725379968.0,39952841999,0,0,0,0,1,0,0,0,0,0,1,0,0,367710.0,584152236545.0,0.978685166667,5668946.09242,15.979215990799998
565,2017-05-23,2191.56,2320.82,2178.5,2320.42,1378749952.0,37933704066,0,0,0,1,0,0,0,0,0,0,1,0,0,327868.0,559970892890.0,0.9668003972600001,4499105.2965,14.2301217269
566,2017-05-22,2043.19,2303.9,2017.87,2173.4,1942220032.0,35525744380,0,0,1,0,0,0,0,0,0,0,1,0,0,326057.0,559970892890.0,0.9903637006799999,4331490.18988,13.7475987597
567,2017-05-21,2067.03,2119.08,2037.5,2041.2,1147859968.0,33361091114,0,1,0,0,0,0,0,0,1,0,1,0,0,352805.0,559970892890.0,0.967212927273,4862316.83169,14.257593059500001
568,2017-05-20,1984.24,2084.73,1974.92,2084.73,961336000.0,34068630559,0,1,0,0,0,0,0,1,0,0,1,0,0,319502.0,559970892890.0,0.971260817073,4746879.57975,15.3041348099
569,2017-05-19,1897.37,2004.52,1890.25,1987.71,1157289984.0,32479082015,0,0,0,0,0,0,1,0,0,0,1,0,0,288904.0,559970892890.0,0.974609492958,3986174.98086,14.2447085626
570,2017-05-18,1818.7,1904.48,1807.12,1888.65,894321024.0,30856574835,0,0,0,0,0,1,0,0,0,0,1,0,0,317527.0,559970892890.0,0.981881941935,4241263.69916,13.7951247381
571,2017-05-17,1726.73,1864.05,1661.91,1839.09,1064729984.0,30043626195,0,0,0,0,1,0,0,0,0,0,1,0,0,233977.0,559970892890.0,0.9739608712119999,3356331.71175,14.8159947344
572,2017-05-16,1741.7,1785.94,1686.54,1734.45,959044992.0,28330874003,0,0,0,1,0,0,0,0,0,0,1,0,0,329229.0,559970892890.0,0.970711982353,4090703.3496199995,12.834928531800001
573,2017-05-15,1808.44,1812.8,1708.54,1738.43,731529024.0,28392885375,0,0,1,0,0,0,0,0,0,0,1,0,0,369098.0,559970892890.0,0.975085658537,4018027.923,11.297435236099998
574,2017-05-14,1800.86,1831.42,1776.62,1808.91,437196000.0,29540290794,0,1,0,0,0,0,0,0,1,0,1,0,0,329266.0,559970892890.0,0.955090025316,3885820.5874099997,12.249167574300001
575,2017-05-13,1723.12,1812.99,1651.08,1804.91,579635008.0,29471223857,0,1,0,0,0,0,0,1,0,0,1,0,0,317698.0,559970892890.0,0.954580519481,3731717.8665,12.1687961628
576,2017-05-12,1845.76,1856.15,1694.01,1724.24,740984000.0,28150631936,0,0,0,0,0,0,1,0,0,0,1,0,0,294743.0,559970892890.0,0.961242696296,3468076.5262800003,12.1530775385
577,2017-05-11,1780.37,1873.93,1755.35,1848.57,799489984.0,30176934751,0,0,0,0,0,1,0,0,0,0,1,0,0,311391.0,555092980097.0,0.960165790541,3665040.51375,12.190336871500001
578,2017-05-10,1756.52,1788.44,1719.1,1787.13,915723008.0,29170965564,0,0,0,0,1,0,0,0,0,0,1,0,0,332879.0,521974519553.0,0.9877865225810001,3715393.61083,11.5852089405
